lemma,lemma_rank,word_rank
distribute,863,1162
spend,864,1163
roman,865,1164
justice,866,1167
straight,867,1168
trust,868,1169
equal,869,1171
eat,870,1172
north,871,1173
v,872,1174
kill,873,1175
throw,874,1176
physical,875,1177
religion,876,1178
watch,877,1180
forget,878,1182
ex,879,1184
instant,880,1186
middle,881,1189
sin,882,1191
o'clock,883,1192
success,884,1193
build,885,1194
lord,886,1196
oblige,887,1198
fortune,888,1199
spite,889,1200
wise,890,1201
moral,891,1203
aux,892,1207
plan,893,1208
touch,894,1210
flower,895,1214
social,896,1215
rate,897,1217
garden,898,1218
Father,899,1220
corner,900,1222
James,901,1223
eine,902,1227
island,903,1228
spring,904,1229
pain,905,1232
wood,906,1233
instance,907,1234
vain,908,1236
directly,909,1237
sufficient,910,1239
happiness,911,1240
journey,912,1241
pale,913,1242
dress,914,1243
ourselves,915,1244
conduct,916,1245
worthy,917,1246
non,918,1248
grave,919,1250
possession,920,1251
legal,921,1252
queen,922,1253
special,923,1256
nation,924,1261
warm,925,1263
degree,926,1264
memory,927,1266
promise,928,1268
wie,929,1269
situation,930,1270
foreign,931,1273
deux,932,1274
greek,933,1275
Rome,934,1276
member,935,1277
vast,936,1278
ma,937,1279
escape,938,1280
sake,939,1281
loss,940,1282
prove,941,1283
était,942,1285
complete,943,1286
passion,944,1287
leur,945,1288
shoot,946,1289
difficulty,947,1290
courage,948,1292
ordinary,949,1294
mighty,950,1295
native,951,1297
concern,952,1299
accept,953,1301
board,954,1302
serious,955,1303
spread,956,1304
del,957,1306
spot,958,1309
colonel,959,1310
twelve,960,1311
wonderful,961,1312
prevent,962,1314
camp,963,1316
di,964,1317
winter,965,1319
excellent,966,1320
additional,967,1321
America,968,1322
Michael,969,1323
tax,970,1324
fait,971,1326
car,972,1327
faire,973,1328
distribution,974,1329
example,975,1330
silver,976,1331
glass,977,1332
share,978,1333
century,979,1334
engage,980,1335
class,981,1338
shake,982,1340
train,983,1341
mention,984,1342
lot,985,1344
Europe,986,1346
decide,987,1352
particularly,988,1353
greatly,989,1354
method,990,1355
finally,991,1356
curious,992,1357
opposite,993,1358
describe,994,1361
pure,995,1363
floor,996,1365
existence,997,1368
thirty,998,1369
xpage,999,1370
refund,1000,1374
affair,1001,1375
sorry,1002,1376
servant,1003,1378
besides,1004,1379
safe,1005,1380
anxious,1006,1382
doctor,1007,1383
extent,1008,1385
narrow,1009,1387
pride,1010,1388
breath,1011,1389
repeat,1012,1391
similar,1013,1392
surprise,1014,1394
exactly,1015,1395
obtain,1016,1398
March,1017,1400
dog,1018,1401
iron,1019,1402
crowd,1020,1406
seek,1021,1407
con,1022,1408
rule,1023,1410
dollar,1024,1411
page,1025,1412
shore,1026,1416
trademark,1027,1417
drink,1028,1418
judge,1029,1421
serve,1030,1422
attack,1031,1423
movement,1032,1425
possess,1033,1427
million,1034,1429
glance,1035,1430
trade,1036,1432
search,1037,1434
broad,1038,1436
grace,1039,1437
distant,1040,1438
sign,1041,1440
advantage,1042,1444
Peter,1043,1445
difference,1044,1447
clearly,1045,1448
honest,1046,1449
freely,1047,1450
Jesus,1048,1451
royal,1049,1452
July,1050,1453
Indians,1051,1454
Louis,1052,1455
interesting,1053,1456
seat,1054,1457
illustration,1055,1460
path,1056,1461
proud,1057,1462
post,1058,1463
finish,1059,1464
space,1060,1466
request,1061,1468
fully,1062,1469
sad,1063,1470
quick,1064,1471
evidence,1065,1473
sky,1066,1474
auch,1067,1475
fancy,1068,1477
choose,1069,1478
drop,1070,1482
dry,1071,1483
taste,1072,1484
sword,1073,1485
confidence,1074,1486
amount,1075,1487
health,1076,1488
liberty,1077,1489
feeling,1078,1490
wine,1079,1491
da,1080,1494
shut,1081,1495
settle,1082,1497
report,1083,1498
create,1084,1500
June,1085,1501
secure,1086,1502
permit,1087,1503
daily,1088,1506
f,1089,1510
national,1090,1511
tall,1091,1512
principal,1092,1513
Monsieur,1093,1514
portion,1094,1515
carefully,1095,1516
mountain,1096,1518
measure,1097,1521
glory,1098,1522
express,1099,1523
dare,1100,1524
Mais,1101,1525
clothe,1102,1527
importance,1103,1528
peculiar,1104,1530
brave,1105,1533
honor,1106,1536
dream,1107,1538
hang,1108,1539
refuse,1109,1540
license,1110,1543
gentle,1111,1544
occupy,1112,1546
ear,1113,1547
sick,1114,1549
President,1115,1550
thick,1116,1552
progress,1117,1553
darkness,1118,1554
claim,1119,1555
game,1120,1559
aid,1121,1560
check,1122,1562
immediate,1123,1563
succeed,1124,1566
aside,1125,1567
file,1126,1568
contrary,1127,1569
fond,1128,1570
tu,1129,1575
holy,1130,1576
throughout,1131,1578
bottom,1132,1580
event,1133,1582
emperor,1134,1584
animal,1135,1585
false,1136,1589
expense,1137,1590
section,1138,1592
judgment,1139,1593
numerous,1140,1594
spanish,1141,1596
frequently,1142,1599
creature,1143,1600
hill,1144,1602
altogether,1145,1603
Washington,1146,1604
famous,1147,1606
equally,1148,1607
otherwise,1149,1609
cross,1150,1612
active,1151,1613
sharp,1152,1614
bank,1153,1615
surely,1154,1616
tous,1155,1617
advance,1156,1619
capital,1157,1620
Jack,1158,1621
willing,1159,1625
seize,1160,1627
contact,1161,1628
Robert,1162,1629
che,1163,1630
necessity,1164,1632
powerful,1165,1633
naturally,1166,1634
teach,1167,1635
op,1168,1636
establish,1169,1637
golden,1170,1638
entire,1171,1639
intellectual,1172,1642
employ,1173,1643
anyone,1174,1645
them,1175,1647
bread,1176,1648
presently,1177,1650
thin,1178,1651
fail,1179,1653
suffer,1180,1654
Man,1181,1655
fate,1182,1656
phrase,1183,1657
Hart,1184,1658
evidently,1185,1659
sont,1186,1660
November,1187,1661
Thomas,1188,1662
stream,1189,1665
coast,1190,1666
hall,1191,1668
David,1192,1669
popular,1193,1670
aware,1194,1671
appoint,1195,1673
las,1196,1674
bent,1197,1675
gather,1198,1676
slight,1199,1677
group,1200,1678
aber,1201,1679
apparently,1202,1680
remarkable,1203,1681
neck,1204,1683
forest,1205,1685
hast,1206,1686
encore,1207,1687
rock,1208,1688
remove,1209,1689
bore,1210,1690
publish,1211,1692
bird,1212,1693
midst,1213,1694
divine,1214,1695
h,1215,1698
carriage,1216,1702
join,1217,1703
noch,1218,1704
population,1219,1707
direct,1220,1708
wealth,1221,1709
comfort,1222,1710
list,1223,1711
blow,1224,1712
tender,1225,1713
stranger,1226,1714
specie,1227,1715
December,1228,1716
handsome,1229,1717
sacred,1230,1721
actually,1231,1725
yellow,1232,1726
surface,1233,1727
consequence,1234,1728
pity,1235,1729
January,1236,1731
habit,1237,1732
j,1238,1733
weak,1239,1734
Congress,1240,1736
distinguish,1241,1738
pray,1242,1740
freedom,1243,1742
stage,1244,1743
mir,1245,1744
angry,1246,1748
brown,1247,1749
satisfy,1248,1750
rain,1249,1751
principle,1250,1753
owner,1251,1755
tired,1252,1756
poet,1253,1757
practice,1254,1758
familiar,1255,1759
reader,1256,1760
por,1257,1762
delight,1258,1763
weather,1259,1767
fish,1260,1768
oli,1261,1769
nine,1262,1770
interested,1263,1771
approach,1264,1772
weight,1265,1774
truly,1266,1775
material,1267,1776
Paul,1268,1778
finger,1269,1781
accompany,1270,1785
suggest,1271,1786
ride,1272,1787
total,1273,1788
grass,1274,1789
resolve,1275,1791
Richard,1276,1792
quarter,1277,1794
style,1278,1796
regular,1279,1797
dangerous,1280,1799
song,1281,1801
og,1282,1802
education,1283,1804
shadow,1284,1805
wholly,1285,1806
contain,1286,1807
drive,1287,1808
virtue,1288,1809
fashion,1289,1810
proceed,1290,1813
gate,1291,1816
sentence,1292,1818
twice,1293,1819
wear,1294,1820
extraordinary,1295,1821
guard,1296,1822
beat,1297,1824
inform,1298,1825
August,1299,1826
burst,1300,1827
calm,1301,1829
mass,1302,1834
som,1303,1835
price,1304,1836
science,1305,1839
increase,1306,1840
treat,1307,1841
lift,1308,1842
thank,1309,1843
nur,1310,1848
base,1311,1849
April,1312,1850
explain,1313,1851
propose,1314,1852
heat,1315,1853
address,1316,1855
aus,1317,1856
previous,1318,1857
genius,1319,1858
constant,1320,1860
imagine,1321,1863
guess,1322,1865
nach,1323,1868
impression,1324,1870
uncle,1325,1871
valley,1326,1872
snow,1327,1873
su,1328,1874
unknown,1329,1875
print,1330,1876
statement,1331,1877
comply,1332,1878
machine,1333,1879
lovely,1334,1881
quietly,1335,1885
Don,1336,1889
occur,1337,1891
fut,1338,1892
rank,1339,1893
listen,1340,1894
arrival,1341,1898
tongue,1342,1901
remark,1343,1902
relation,1344,1903
absolutely,1345,1904
final,1346,1905
lo,1347,1906
edge,1348,1908
ii,1349,1910
cease,1350,1911
loud,1351,1912
capable,1352,1913
moon,1353,1914
box,1354,1916
struggle,1355,1917
q,1356,1918
season,1357,1919
wound,1358,1920
Philip,1359,1921
double,1360,1922
forty,1361,1924
qex,1362,1928
favour,1363,1929
Spain,1364,1930
October,1365,1934
moi,1366,1935
burn,1367,1936
fifteen,1368,1938
volunteer,1369,1939
busy,1370,1940
title,1371,1941
series,1372,1943
pound,1373,1944
admit,1374,1945
collection,1375,1947
slave,1376,1948
mission,1377,1950
size,1378,1951
possibly,1379,1952
om,1380,1955
upper,1381,1956
priest,1382,1957
vessel,1383,1958
companion,1384,1960
faithful,1385,1961
height,1386,1963
nice,1387,1964
destroy,1388,1965
separate,1389,1966
absence,1390,1968
r,1391,1969
breast,1392,1970
ni,1393,1971
content,1394,1973
noise,1395,1974
demand,1396,1975
inhabitant,1397,1976
release,1398,1980
pair,1399,1981
hän,1400,1982
buy,1401,1987
god,1402,1988
sympathy,1403,1990
completely,1404,1991
sum,1405,1992
slow,1406,1995
hurt,1407,1997
qau,1408,1998
shoulder,1409,1999
current,1410,2000
wisdom,1411,2001
niet,1412,2004
rapidly,1413,2005
amongst,1414,2007
gain,1415,2008
affection,1416,2009
splendid,1417,2010
advice,1418,2012
square,1419,2014
whisper,1420,2015
bitter,1421,2016
mich,1422,2017
alive,1423,2018
Majesty,1424,2019
Italy,1425,2020
han,1426,2021
press,1427,2023
addition,1428,2024
task,1429,2026
fool,1430,2027
kingdom,1431,2028
cruel,1432,2030
Sunday,1433,2031
shape,1434,2032
birth,1435,2035
policy,1436,2036
credit,1437,2038
sell,1438,2039
superior,1439,2040
professor,1440,2041
storm,1441,2044
delicate,1442,2047
palace,1443,2048
peu,1444,2050
win,1445,2051
constantly,1446,2052
ihm,1447,2053
loose,1448,2054
leg,1449,2055
zijn,1450,2056
italian,1451,2059
empty,1452,2060
imagination,1453,2062
practical,1454,2065
unable,1455,2066
quality,1456,2068
sorrow,1457,2069
belief,1458,2070
civil,1459,2071
um,1460,2073
dozen,1461,2074
commit,1462,2076
station,1463,2077
satisfaction,1464,2084
friendly,1465,2086
fort,1466,2087
smoke,1467,2090
Germany,1468,2091
consideration,1469,2093
brief,1470,2095
kindly,1471,2096
huge,1472,2097
literature,1473,2098
dass,1474,2101
apply,1475,2103
proof,1476,2104
gradually,1477,2105
spiritual,1478,2106
ik,1479,2110
ihr,1480,2111
flesh,1481,2112
partly,1482,2113
fruit,1483,2114
deeply,1484,2115
Und,1485,2116
east,1486,2117
connect,1487,2118
brilliant,1488,2120
hij,1489,2121
supply,1490,2122
coat,1491,2123
Edward,1492,2124
limit,1493,2125
firm,1494,2127
nobody,1495,2128
PWH,1496,2131
ring,1497,2132
march,1498,2136
enjoy,1499,2137
centre,1500,2138
whenever,1501,2143
friendship,1502,2144
supper,1503,2145
useful,1504,2146
GUTENBERG,1505,2151
attach,1506,2154
instantly,1507,2157
shame,1508,2159
rough,1509,2160
minister,1510,2161
protect,1511,2162
intention,1512,2163
assistance,1513,2164
highly,1514,2165
sein,1515,2167
soil,1516,2169
feature,1517,2171
sd,1518,2174
couple,1519,2178
inside,1520,2180
count,1521,2184
breakfast,1522,2186
crime,1523,2187
grief,1524,2188
irish,1525,2189
conscience,1526,2190
exercise,1527,2193
assure,1528,2195
det,1529,2197
relief,1530,2198
bury,1531,2200
female,1532,2201
welcome,1533,2202
dignity,1534,2205
hate,1535,2207
countenance,1536,2209
site,1537,2211
motion,1538,2213
render,1539,2214
blind,1540,2215
extreme,1541,2216
fairly,1542,2217
mad,1543,2218
process,1544,2220
edition,1545,2222
bare,1546,2223
poetry,1547,2224
brain,1548,2227
où,1549,2229
surround,1550,2230
parent,1551,2231
rare,1552,2233
entrance,1553,2235
introduce,1554,2236
control,1555,2238
careful,1556,2239
clean,1557,2242
conscious,1558,2243
durch,1559,2245
variety,1560,2246
donc,1561,2247
immense,1562,2248
etait,1563,2249
devote,1564,2252
daß,1565,2253
everybody,1566,2254
level,1567,2255
Virginia,1568,2257
dull,1569,2261
aunt,1570,2262
eager,1571,2263
star,1572,2264
sacrifice,1573,2267
compel,1574,2268
faint,1575,2269
tooth,1576,2270
thoroughly,1577,2271
labor,1578,2272
pull,1579,2274
text,1580,2276
colour,1581,2278
cup,1582,2279
gray,1583,2280
lest,1584,2282
description,1585,2283
citizen,1586,2284
tea,1587,2287
precious,1588,2288
custom,1589,2289
message,1590,2290
choice,1591,2292
divide,1592,2294
grant,1593,2297
excite,1594,2298
sous,1595,2299
sing,1596,2301
einen,1597,2302
knee,1598,2303
même,1599,2304
connection,1600,2306
prayer,1601,2308
mercy,1602,2309
awful,1603,2311
closely,1604,2312
fly,1605,2313
whilst,1606,2314
accustom,1607,2315
evident,1608,2316
avoid,1609,2318
solemn,1610,2320
compose,1611,2321
mental,1612,2322
India,1613,2324
computer,1614,2325
theory,1615,2326
suit,1616,2327
sprang,1617,2330
recognize,1618,2331
devil,1619,2332
weary,1620,2337
arise,1621,2338
violent,1622,2339
fault,1623,2341
crown,1624,2343
seldom,1625,2344
intelligence,1626,2345
actual,1627,2346
hide,1628,2347
acquaintance,1629,2348
volume,1630,2350
status,1631,2353
color,1632,2354
sufficiently,1633,2356
hurry,1634,2357
aussi,1635,2358
mistress,1636,2359
excitement,1637,2360
September,1638,2361
requirement,1639,2362
praise,1640,2363
writer,1641,2364
Mark,1642,2365
g,1643,2366
plenty,1644,2367
deliver,1645,2368
dust,1646,2369
pocket,1647,2371
ihn,1648,2372
represent,1649,2373
protection,1650,2374
una,1651,2375
arrange,1652,2377
nose,1653,2381
dreadful,1654,2382
tale,1655,2383
terror,1656,2384
beg,1657,2386
chamber,1658,2387
kiss,1659,2388
scatter,1660,2390
attitude,1661,2393
ei,1662,2396
whence,1663,2397
perceive,1664,2398
innocent,1665,2399
utterly,1666,2402
quand,1667,2403
chiefly,1668,2405
yard,1669,2407
cool,1670,2408
article,1671,2409
attend,1672,2410
cousin,1673,2412
circle,1674,2414
energy,1675,2416
union,1676,2417
extremely,1677,2419
February,1678,2421
dire,1679,2423
prison,1680,2424
liability,1681,2425
ASCII,1682,2428
singe,1683,2429
temp,1684,2431
favor,1685,2432
production,1686,2435
kindness,1687,2436
votre,1688,2437
cloud,1689,2440
ahead,1690,2441
wenn,1691,2442
provision,1692,2443
Harry,1693,2445
smith,1694,2447
anger,1695,2449
absolute,1696,2453
charming,1697,2455
yesterday,1698,2456
salt,1699,2457
rush,1700,2460
victory,1701,2462
local,1702,2463
att,1703,2464
Joseph,1704,2465
castle,1705,2466
lover,1706,2467
vision,1707,2470
bold,1708,2472
severe,1709,2473
rien,1710,2475
explanation,1711,2476
miserable,1712,2479
successful,1713,2480
branch,1714,2481
San,1715,2482
oder,1716,2485
perform,1717,2486
ease,1718,2488
lake,1719,2489
worship,1720,2493
stock,1721,2494
Ireland,1722,2495
quantity,1723,2497
interrupt,1724,2502
apart,1725,2503
confess,1726,2505
convince,1727,2507
valuable,1728,2508
roof,1729,2510
growth,1730,2511
commercial,1731,2512
aan,1732,2513
pardon,1733,2515
record,1734,2516
